US_Chart - Current Rock Albums,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,week_of
Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Sales,% CHG,LW Sales,RTD Sales,2023.06.22
1,In Times New Roman...,Queens Of The Stone Age,MATADOR,MAOR,1,,,1,35631,999.0,138,35769,2023.06.22
2,But Here We Are,Foo Fighters, RCA,RCA ,2,3,2,3,7170,-43.1,12605,74376,2023.06.22
3,Weathervanes,Jason Isbell And The 400 Unit,SOUTHEASTERN RECORDS,SOUE,1,1,,2,6085,-78.1,27828,33937,2023.06.22
4,Guardians of the Galaxy Vol. 3: Awesome Mix Vol. 3,Various Artists,HOLLYWOOD RECORDS,HOL ,1,7,6,8,5893,-10.4,6579,92741,2023.06.22
5,The Complete Dirty South,Drive-By Truckers,NEW WEST RECORD,NWSW,5,,,1,5299,,0,5300,2023.06.22
6,Whitsitt Chapel,Jelly Roll,BROKEN BOW RECO,BB2 ,1,6,1,3,4969,-29.9,7091,75094,2023.06.22
7,Peace...Like A River,Gov't Mule,FANTASY RECORDS,FAN ,7,,,1,4556,,0,4556,2023.06.22
8,The Record,boygenius,INTERSCOPE/GEFFEN/A&M,INT ,1,11,11,12,4227,2.6,4121,116545,2023.06.22
9,72 Seasons,Metallica,RHINO/BLACKENED,BKNR,1,10,10,10,4176,-5.2,4404,211949,2023.06.22
10,King Of A Land,Yusuf/Cat Stevens, BMG DISTRIBUTION,BMG,10,,,1,3104,,0,3105,2023.06.22
11,Orpheus Descending,John Mellencamp,REPUBLIC RECORDS,R-RR,11,,,1,2878,999.0,17,2895,2023.06.22
12,Life Is But A Dream…,Avenged Sevenfold, WARNER Records,WAR,3,9,3,3,2631,-41.5,4499,35467,2023.06.22
13,Stick Season,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,2,2,50,3,2464,-89.1,22611,37945,2023.06.22
14,Five Easy Hot Dogs,Mac DeMarco,"MAC DEMARCO, LLC",MCMD,14,,,1,2263,999.0,71,5637,2023.06.22
15,Bridges,Steve Lukather, INDEPENDENT LABEL SUBMISSION,INDI,15,,,1,2193,,0,2193,2023.06.22
16,Six,Extreme,EAR MUSIC,EAR,4,4,,2,2144,-82.9,12523,14667,2023.06.22
17,Bob Dylan: Shadow Kingdom,Bob Dylan,SME/LEGACY RECORDINGS,LEGC,4,12,4,3,2115,-38.4,3434,17107,2023.06.22
18,Walk Around The Moon,Dave Matthews Band, RCA,RCA ,1,14,19,5,2091,-31.4,3046,51059,2023.06.22
19,Phantomime,Ghost,LOMA VISTA,LVR,2,17,14,5,2052,-14.5,2401,47004,2023.06.22
20,Where The Light Goes,Matchbox Twenty,ATLANTIC GROUP,ATLG,1,21,8,4,1953,-3.6,2025,22345,2023.06.22
21,Emotional Contracts,Deer Tick,"ATO RECORDS, L.L.C.",ATO ,21,,,1,1877,,0,1877,2023.06.22
22,Smash: The Singles 1985-2020,Pet Shop Boys, WAR - PARLOPHONE,WAR ,22,,,1,1866,999.0,1,1867,2023.06.22
23,Take Me Back To Eden,Sleep Token,SpineFarm,SFMU,3,22,21,5,1863,-6.1,1984,26391,2023.06.22
24,Joy'All,Jenny Lewis,BLUE NOTE,BNTE,5,5,,2,1862,-76.3,7872,9744,2023.06.22
25,American Heartbreak,Zach Bryan,WARNER RECORDS,WAR,1,24,22,32,1762,3.0,1710,110634,2023.06.22
26,Rich White Honky Blues,Hank Williams Jr.,CONCORD EASY EYE SOUND,CNCO,2,25,,4,1500,-11.2,1689,22679,2023.06.22
27,"PetroDragonic Apocalypse; or, Dawn of Eternal Night: An Annihilation of Planet Earth and the Beginning of Merciless Damnation",King Gizzard & The Lizard Wizard,KGLW (KING GIZZARD &THE LIZARD WIZARD),KGD,27,,,1,1495,,0,1495,2023.06.22
28,So Much (For) Stardust,Fall Out Boy,ELEKTRA ENTERTA,EEG ,1,33,35,13,1436,12.9,1272,75710,2023.06.22
29,Seven Psalms,Paul Simon,SBME,SBME,6,15,25,5,1421,-42.7,2478,17629,2023.06.22
30,Day Of The Doug,Son Volt,RED INK,RDIK,30,,,1,1351,999.0,15,3324,2023.06.22
31,Diamonds,Elton John,ISLAND,ISL,2,35,36,290,1323,14.9,1151,777820,2023.06.22
32,Live At Montreux Jazz Festival '07,Motorhead, BMG DISTRIBUTION,BMG ,32,,,1,1319,999.0,1,1320,2023.06.22
33,Space Heavy,King Krule,Matador,OLE,13,13,,2,1306,-61.3,3379,4690,2023.06.22
34,Boundless Domain,Creeping Death,MNRK,MNRK,34,,,1,1254,999.0,14,1268,2023.06.22
35,Patient Number 9,Ozzy Osbourne,EPIC,EPIC,1,49,49,3,1244,52.1,818,144091,2023.06.22
36,Muppets Mayhem,Dr. Teeth And The El,DISNEY,DISN,7,40,32,6,1219,16.3,1048,12382,2023.06.22
37,NOW Classic Rock (2022),Various Artists,NOW,NOW,10,46,,2,1192,22.8,971,42823,2023.06.22
38,Forwards,Alarm,TWENTY CENTURY RECORDING COMPANY,21CI,38,,,1,1190,,0,1190,2023.06.22
39,Strangers No More,Drew Holcomb & The Neighbors,MAGNOLIA RECORD,MAG,18,18,,2,1163,-47.5,2217,3844,2023.06.22
40,Being Funny In A Foreign Langu,The 1975,DIRTY HIT,DRHI,2,42,43,34,1129,8.9,1037,79116,2023.06.22
41,This Is Why,Paramore,ATLANTIC GROUP,ATLG,1,31,23,19,1112,-22.7,1439,104251,2023.06.22
42,The Winding Way,Teskey Brothers,THE ORCHARD,ORCH,42,,,1,1102,,0,1102,2023.06.22
43,First Two Pages Of Frankenstein,National,4AD,4AD,1,36,33,8,1088,-3.4,1126,38628,2023.06.22
44,"The Dark Side Of The Moon - Live At Wembley Empire Pool, London, 1974",Pink Floyd,PKFL,PKFL,3,47,41,13,1068,11.0,962,39455,2023.06.22
45,Bright New Disease,Boris & Uniform,Sacred Bones Records,SBR,45,,,1,1035,,0,1035,2023.06.22
46,Cracker Island,Gorillaz,WARNER RECORDS,WAR ,1,43,34,17,1025,2.4,1001,98575,2023.06.22
47,The Mockingbird & The Crow,HARDY,Big Loud Records,BLR,1,45,39,21,992,0.3,989,53801,2023.06.22
48,Tomorrow Never Comes,Rancid,Epitaph,EPI,5,30,5,3,976,-32.4,1444,10887,2023.06.22
49,Aurora,Daisy Jones & The Six,ATLANTIC GROUP,ATLG,2,,46,15,969,44.0,673,48584,2023.06.22
50,Return Of The Dream Canteen,Red Hot Chili Peppers,Warner Records,WAR,1,,,1,961,28.1,750,111195,2023.06.22
Copyright (c) 2023 MRC Data LLC. Confidential and Proprietary.,,,,,,,,,,,,,2023.06.22
Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Sales,% CHG,LW Sales,RTD Sales,2023.06.29
1,Whitsitt Chapel,Jelly Roll,BROKEN BOW RECO,BB2 ,1,6,6,4,5193,4.5,4969,80287,2023.06.29
2,In Times New Roman...,Queens Of The Stone Age,MATADOR,MAOR,1,1,,2,4936,-86.1,35632,40705,2023.06.29
3,Chris Black Changed My Life,Portugal. The Man,ATLANTIC GROUP,ATLG,3,,,1,4916,999.0,26,4941,2023.06.29
4,But Here We Are,Foo Fighters, RCA,RCA ,2,2,3,4,4274,-40.4,7170,78650,2023.06.29
5,Guardians of the Galaxy Vol. 3: Awesome Mix Vol. 3,Various Artists,HOLLYWOOD RECORDS,HOL ,1,4,7,9,4110,-30.3,5895,96851,2023.06.29
6,The Record,boygenius,INTERSCOPE/GEFFEN/A&M,INT ,1,8,11,13,4069,-3.8,4229,120614,2023.06.29
7,Weathervanes,Jason Isbell And The 400 Unit,SOUTHEASTERN RECORDS,SOUE,1,3,1,3,3353,-44.9,6088,37290,2023.06.29
8,Peace...Like A River,Gov't Mule,FANTASY RECORDS,FAN ,7,7,,2,2664,-41.5,4556,7220,2023.06.29
9,72 Seasons,Metallica,RHINO/BLACKENED,BKNR,1,9,10,11,2661,-36.3,4177,214610,2023.06.29
10,Seven Psalms,Paul Simon,SBME,SBME,6,29,15,6,2575,81.2,1421,20204,2023.06.29
11,Life Under The Gun,Militarie Gun,LOMA VISTA,LVR ,11,,,1,2547,,0,2547,2023.06.29
12,Where The Light Goes,Matchbox Twenty,ATLANTIC GROUP,ATLG,1,20,21,5,2523,29.2,1953,24868,2023.06.29
13,The Definitive 24 Nights,Eric Clapton, WARNER Records,WAR ,13,,,1,2380,,0,2380,2023.06.29
14,Stick Season,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,2,13,2,4,2216,-10.2,2467,40161,2023.06.29
15,Spring 1973,Grateful Dead,Grateful Dead,RHI ,15,,,1,2188,,0,2188,2023.06.29
16,Police Deranged For Orchestra,Stewart Copeland, BMG DISTRIBUTION,BMG ,16,,,1,1574,,0,1574,2023.06.29
17,Six,Extreme,EAR MUSIC,EAR,4,16,4,3,1557,-27.4,2144,16224,2023.06.29
18,Life Is But A Dream…,Avenged Sevenfold, WARNER Records,WAR,3,12,9,4,1536,-41.6,2631,37003,2023.06.29
19,Phantomime,Ghost,LOMA VISTA,LVR,2,19,17,6,1504,-26.7,2052,48508,2023.06.29
20,Walk Around The Moon,Dave Matthews Band, RCA,RCA ,1,18,14,6,1482,-29.2,2092,52541,2023.06.29
21,Bob Dylan: Shadow Kingdom,Bob Dylan,SME/LEGACY RECORDINGS,LEGC,4,17,12,4,1445,-31.7,2115,18552,2023.06.29
22,The Beggar,Swans, INDEPENDENT LABEL SUBMISSION,INDI,22,,,1,1443,,0,1443,2023.06.29
23,Take Me Back To Eden,Sleep Token,SpineFarm,SFMU,3,23,22,6,1365,-26.7,1863,27756,2023.06.29
24,Midnight Control,Dirty Heads,Better Noise Records,NOIZ,10,,,1,1335,237.1,396,8287,2023.06.29
25,American Heartbreak,Zach Bryan,WARNER RECORDS,WAR,1,25,24,33,1326,-24.7,1762,111960,2023.06.29
26,So Much (For) Stardust,Fall Out Boy,ELEKTRA ENTERTA,EEG ,1,28,33,14,1318,-8.2,1436,77028,2023.06.29
27,24 Nights: Rock,Eric Clapton, WARNER Records,WAR ,27,,,1,1224,,0,1224,2023.06.29
28,This Far South,Tommy Prine,RED INK,RDIK,28,,,1,1089,,0,1089,2023.06.29
29,Joy'All,Jenny Lewis,BLUE NOTE,BNTE,5,24,5,3,1040,-44.1,1862,10784,2023.06.29
30,Diamonds,Elton John,ISLAND,ISL,2,31,35,291,1023,-22.7,1323,778843,2023.06.29
31,Melodies On Hiatus,Albert Hammond Jr,RED BULL RECORDS,RDBL,31,,,1,1018,,0,1022,2023.06.29
32,Cracker Island,Gorillaz,WARNER RECORDS,WAR ,1,46,43,18,997,-2.8,1026,99572,2023.06.29
33,Gemini Rights,Steve Lacy, RCA,RCA ,2,,44,32,987,4.9,941,79686,2023.06.29
34,Re-Industrialized,Fear Factory,NUCLEAR BLAST,NUB,34,,,1,976,,0,976,2023.06.29
35,The Complete Dirty South,Drive-By Truckers,NEW WEST RECORD,NWSW,5,5,,2,954,-82.0,5299,6254,2023.06.29
36,Aurora,Daisy Jones & The Six,ATLANTIC GROUP,ATLG,2,49,,16,933,-3.8,970,49517,2023.06.29
37,Color Decay,Devil Wears Prada,Tooth and Nail Records,T&NR,8,,,1,932,999.0,11,11679,2023.06.29
38,The Mockingbird & The Crow,HARDY,Big Loud Records,BLR,1,47,45,22,916,-7.7,992,54717,2023.06.29
39,King Of A Land,Yusuf/Cat Stevens, BMG DISTRIBUTION,BMG,10,10,,2,890,-71.3,3104,3995,2023.06.29
40,Live In Seattle,Power Trip,SOUTHERN LORD,STHL,40,,,1,865,999.0,57,922,2023.06.29
40,Suicide & Sunshine,Trophy Eyes,HOPELESS RECORDS,HPL,40,,,1,865,,0,865,2023.06.29
42,First Two Pages Of Frankenstein,National,4AD,4AD,1,43,36,9,824,-24.3,1088,39452,2023.06.29
43,24 Nights: Blues,Eric Clapton, WARNER Records,WAR ,43,,,1,817,,0,817,2023.06.29
44,This Is Why,Paramore,ATLANTIC GROUP,ATLG,1,41,31,20,809,-27.3,1113,105060,2023.06.29
45,Patient Number 9,Ozzy Osbourne,EPIC,EPIC,1,35,49,4,801,-35.6,1244,144892,2023.06.29
46,"The Dark Side Of The Moon - Live At Wembley Empire Pool, London, 1974",Pink Floyd,PKFL,PKFL,3,44,47,14,769,-28.0,1068,40224,2023.06.29
47,Being Funny In A Foreign Langu,The 1975,DIRTY HIT,DRHI,2,40,42,35,750,-33.6,1129,79866,2023.06.29
48,Chronicles Of The Kid,Ayron Jones,BIG MACHINE,BGMA,48,,,1,727,,0,727,2023.06.29
49,Space Heavy,King Krule,Matador,OLE,13,33,13,3,723,-44.6,1306,5413,2023.06.29
50,Drastic Symphonies,Def Leppard With The Royal Philharmonic Orchestra,ISLAND,ISL ,4,,37,5,706,-23.9,928,21672,2023.06.29
Copyright (c) 2023 MRC Data LLC. Confidential and Proprietary.,,,,,,,,,,,,,2023.06.29
Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Sales,% CHG,LW Sales,RTD Sales,2023.07.06
1,Stories From A Rock N Roll Heart,Lucinda Williams,HIGHWAY 20 RECORDS,HW20,1,,,1,8423,999.0,25,8448,2023.07.06
2,Spring 1973,Grateful Dead,Grateful Dead,RHI ,2,15,,2,6713,206.8,2188,8901,2023.07.06
3,Whitsitt Chapel,Jelly Roll,BROKEN BOW RECO,BB2 ,1,1,6,5,4198,-19.2,5193,84485,2023.07.06
4,Funky Nothingness,Frank Zappa,ZAPPA RECORDS,ZAP ,4,,,1,4033,999.0,1,4034,2023.07.06
5,Garcialive Volume 20,Jerry Garcia,"ATO RECORDS, L.L.C.",ATO ,5,,,1,4023,,0,4023,2023.07.06
6,The Beggar,Swans, INDEPENDENT LABEL SUBMISSION,INDI,6,22,,2,3949,173.7,1443,5392,2023.07.06
7,Guardians of the Galaxy Vol. 3: Awesome Mix Vol. 3,Various Artists,HOLLYWOOD RECORDS,HOL ,1,5,4,10,3937,-4.2,4110,100788,2023.07.06
8,Weathervanes,Jason Isbell And The 400 Unit,SOUTHEASTERN RECORDS,SOUE,1,7,3,4,3545,5.7,3353,40835,2023.07.06
9,But Here We Are,Foo Fighters, RCA,RCA ,2,4,2,5,3373,-21.1,4274,82023,2023.07.06
10,"RFK Stadium, Washington, DC 6/10/73",Grateful Dead,Grateful Dead,RHI ,10,,,1,3251,,0,3251,2023.07.06
11,The Record,boygenius,INTERSCOPE/GEFFEN/A&M,INT ,1,6,8,14,2841,-30.2,4069,123455,2023.07.06
12,In Times New Roman...,Queens Of The Stone Age,MATADOR,MAOR,1,2,1,3,2735,-44.6,4936,43440,2023.07.06
13,72 Seasons,Metallica,RHINO/BLACKENED,BKNR,1,9,9,12,2460,-7.6,2661,217070,2023.07.06
14,Where The Light Goes,Matchbox Twenty,ATLANTIC GROUP,ATLG,1,12,20,6,2443,-3.2,2523,27311,2023.07.06
15,In The End It Always,Japanese House,DIRTY HIT,DRHI,15,,,1,2300,999.0,27,2327,2023.07.06
16,"Live From Union Transfer (Indie Exclusive, Tangerine Vinyl)",Alex G,DOMINORECORDCO.,DOO.,16,,,1,1992,999.0,15,2007,2023.07.06
17,Dead Club City,Nothing But Thieves,AWAL,AWAL,17,,,1,1962,999.0,1,1980,2023.07.06
18,Wild Creatures,Neko Case,ANTILLA,ANTI,18,,,1,1814,999.0,74,3062,2023.07.06
19,Stick Season,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,2,14,13,5,1774,-19.9,2216,41935,2023.07.06
20,The Jaws Of Life,Pierce The Veil,FEARLESS RECORD,FEAR,2,,,1,1713,251.7,487,36363,2023.07.06
21,Seven Psalms,Paul Simon,SBME,SBME,6,10,29,7,1521,-40.9,2575,21725,2023.07.06
22,So Much (For) Stardust,Fall Out Boy,ELEKTRA ENTERTA,EEG ,1,26,28,15,1387,5.2,1318,78415,2023.07.06
23,Phantomime,Ghost,LOMA VISTA,LVR,2,19,19,7,1354,-10.0,1504,49862,2023.07.06
24,American Heartbreak,Zach Bryan,WARNER RECORDS,WAR,1,25,25,34,1350,1.8,1326,113310,2023.07.06
25,Life Is But A Dream…,Avenged Sevenfold, WARNER Records,WAR,3,18,12,5,1320,-14.1,1536,38323,2023.07.06
26,Walk Around The Moon,Dave Matthews Band, RCA,RCA ,1,20,18,7,1133,-23.5,1482,53674,2023.07.06
27,Take Me Back To Eden,Sleep Token,SpineFarm,SFMU,3,23,23,7,1115,-18.3,1365,28871,2023.07.06
28,This Is Why,Paramore,ATLANTIC GROUP,ATLG,1,44,41,21,1071,32.4,809,106131,2023.07.06
29,Diamonds,Elton John,ISLAND,ISL,2,30,31,292,1048,2.4,1023,779891,2023.07.06
30,Six,Extreme,EAR MUSIC,EAR,4,17,16,4,1026,-34.1,1557,17250,2023.07.06
31,The Mockingbird & The Crow,HARDY,Big Loud Records,BLR,1,38,47,23,976,6.6,916,55693,2023.07.06
32,Cracker Island,Gorillaz,WARNER RECORDS,WAR ,1,32,46,19,937,-6.0,997,100509,2023.07.06
33,Bob Dylan: Shadow Kingdom,Bob Dylan,SME/LEGACY RECORDINGS,LEGC,4,21,17,5,915,-36.7,1445,19467,2023.07.06
34,Chris Black Changed My Life,Portugal. The Man,ATLANTIC GROUP,ATLG,3,3,,2,911,-81.5,4916,5852,2023.07.06
35,Khruangbin & Nubya Garcia: Live At Radio,Khruangbin,Dead Oceans,DOC,35,,,1,910,999.0,23,933,2023.07.06
36,Rumble Of Thunder,Hu,Better Noise Records,NOIZ,11,,,1,896,707.2,111,14275,2023.07.06
37,Chaos For The Fly,Grian Chatten,PARTISAN RECORD,PIS ,37,,,1,883,,0,883,2023.07.06
38,Aurora,Daisy Jones & The Six,ATLANTIC GROUP,ATLG,2,36,49,17,847,-9.2,933,50364,2023.07.06
39,Gemini Rights,Steve Lacy, RCA,RCA ,2,33,,33,844,-14.5,987,80530,2023.07.06
40,Peace...Like A River,Gov't Mule,FANTASY RECORDS,FAN ,7,8,7,3,786,-70.5,2664,8006,2023.07.06
41,"The Dark Side Of The Moon - Live At Wembley Empire Pool, London, 1974",Pink Floyd,PKFL,PKFL,3,46,44,15,777,1.0,769,41001,2023.07.06
42,First Two Pages Of Frankenstein,National,4AD,4AD,1,42,43,10,723,-12.3,824,40175,2023.07.06
43,Joy'All,Jenny Lewis,BLUE NOTE,BNTE,5,29,24,4,711,-31.6,1040,11495,2023.07.06
44,Drastic Symphonies,Def Leppard With The Royal Philharmonic Orchestra,ISLAND,ISL ,4,50,,6,676,-4.2,706,22348,2023.07.06
45,Muppets Mayhem,Dr. Teeth And The El,DISNEY,DISN,7,,36,7,667,5.2,634,13683,2023.07.06
46,The Complete Dirty South,Drive-By Truckers,NEW WEST RECORD,NWSW,5,35,5,3,643,-32.6,954,6897,2023.07.06
47,I've Loved You For So Long,Aces,RED BULL RECORDS,RDBL,31,,,1,617,999.0,27,2201,2023.07.06
48,NOW '90s Alternative Rock,Various Artists,Columbia Records,COL ,9,,,1,603,30.2,463,34305,2023.07.06
49,Patient Number 9,Ozzy Osbourne,EPIC,EPIC,1,45,35,5,592,-26.1,801,145484,2023.07.06
50,All Hell's Breaking Loose,Raven,SILVER LINING M,UDR ,50,,,1,591,,0,591,2023.07.06
Copyright (c) 2023 MRC Data LLC. Confidential and Proprietary.,,,,,,,,,,,,,2023.07.06
Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Sales,% CHG,LW Sales,RTD Sales,2023.07.13
1,"PetroDragonic Apocalypse; or, Dawn of Eternal Night: An Annihilation of Planet Earth and the Beginning of Merciless Damnation",King Gizzard & The Lizard Wizard,KGLW (KING GIZZARD &THE LIZARD WIZARD),KGD,1,,,2,10975,999.0,127,12785,2023.07.13
2,I Inside The Old Year Dying,PJ Harvey,PTKF,PTKF,2,,,1,5810,999.0,53,5863,2023.07.13
3,Guardians of the Galaxy Vol. 3: Awesome Mix Vol. 3,Various Artists,HOLLYWOOD RECORDS,HOL ,1,7,5,11,4681,18.9,3937,105469,2023.07.13
4,Summertime Blues,Zach Bryan,WARNER RECORDS,WAR ,4,,,1,4487,999.0,244,15859,2023.07.13
5,The Call Of The Void,Nita Strauss,"SUMERIAN RECORDS, LLC",SMRN,5,,,1,4136,,0,4136,2023.07.13
6,Whitsitt Chapel,Jelly Roll,BROKEN BOW RECO,BB2 ,1,3,1,6,3772,-10.1,4198,88257,2023.07.13
7,The Record,boygenius,INTERSCOPE/GEFFEN/A&M,INT ,1,11,6,15,2808,-1.2,2841,126318,2023.07.13
8,But Here We Are,Foo Fighters, RCA,RCA ,2,9,4,6,2547,-24.5,3373,84570,2023.07.13
9,Stories From A Rock N Roll Heart,Lucinda Williams,HIGHWAY 20 RECORDS,HW20,1,1,,2,2417,-71.3,8423,10865,2023.07.13
10,Sunburn,Dominic Fike,Columbia Records,COL ,10,,,1,2330,999.0,1,2331,2023.07.13
11,72 Seasons,Metallica,RHINO/BLACKENED,BKNR,1,13,9,13,2112,-14.1,2460,219182,2023.07.13
12,Weathervanes,Jason Isbell And The 400 Unit,SOUTHEASTERN RECORDS,SOUE,1,8,7,5,1953,-44.9,3545,42790,2023.07.13
13,In Times New Roman...,Queens Of The Stone Age,MATADOR,MAOR,1,12,2,4,1924,-29.7,2735,45364,2023.07.13
14,American Heartbreak,Zach Bryan,WARNER RECORDS,WAR,1,24,25,35,1904,41.0,1350,115214,2023.07.13
15,Stick Season,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,2,19,14,6,1818,2.5,1774,43753,2023.07.13
16,Rich White Honky Blues,Hank Williams Jr.,CONCORD EASY EYE SOUND,CNCO,2,,,5,1706,999.0,45,24465,2023.07.13
17,Blackbraid Ii,Blackbraid, INDEPENDENT LABEL SUBMISSION,INDI,17,,,1,1684,,0,1684,2023.07.13
18,My Back Was A Bridge For You To Cross,ANOHNI and the Johnsons,Secretly Canadian,SC,18,,,1,1441,999.0,14,1455,2023.07.13
19,I Want It All Right Now,Grouplove,GLASSNOTE,GLSN,19,,,1,1407,999.0,9,1416,2023.07.13
20,Phantomime,Ghost,LOMA VISTA,LVR,2,23,19,8,1403,3.6,1354,51265,2023.07.13
21,Khruangbin & Nubya Garcia: Live At Radio,Khruangbin,Dead Oceans,DOC,21,35,,2,1343,47.6,910,2276,2023.07.13
22,This Is Why,Paramore,ATLANTIC GROUP,ATLG,1,28,44,22,1290,20.4,1071,107457,2023.07.13
23,Where The Light Goes,Matchbox Twenty,ATLANTIC GROUP,ATLG,1,14,12,7,1266,-48.2,2443,28577,2023.07.13
24,Diamonds,Elton John,ISLAND,ISL,2,29,30,293,1213,15.7,1048,781104,2023.07.13
25,Henge,Gus Dapperton,Warner Records,WAR,25,,,1,1204,,0,1204,2023.07.13
26,Time Will Wait For No One,Local Natives,LOMA VISTA,LVR ,26,,,1,1128,999.0,44,1172,2023.07.13
27,So Much (For) Stardust,Fall Out Boy,ELEKTRA ENTERTA,EEG ,1,22,26,16,1119,-19.3,1387,79541,2023.07.13
28,Walk Around The Moon,Dave Matthews Band, RCA,RCA ,1,26,20,8,1028,-9.3,1133,54702,2023.07.13
29,Life Is But A Dream…,Avenged Sevenfold, WARNER Records,WAR,3,25,18,6,1021,-22.7,1320,39344,2023.07.13
30,Waiting To Spill,Backseat Lovers,CAPITOL MUSIC GROUP,CAP ,6,,,1,997,551.6,153,20073,2023.07.13
31,All Around Man – Live In London,Rory Gallagher,UNIVERSAL MUSIC ENTERPRISES,UME,31,,,1,970,999.0,3,973,2023.07.13
32,Gemini Rights,Steve Lacy, RCA,RCA ,2,39,33,34,879,4.1,844,81484,2023.07.13
33,The Greater Wings,Julie Byrne,Ghostly International,GI,33,,,1,870,,0,870,2023.07.13
34,Aurora,Daisy Jones & The Six,ATLANTIC GROUP,ATLG,2,38,36,18,823,-2.8,847,51187,2023.07.13
35,The Mockingbird & The Crow,HARDY,Big Loud Records,BLR,1,31,38,24,794,-18.6,976,56487,2023.07.13
36,Joy'All,Jenny Lewis,BLUE NOTE,BNTE,5,43,29,5,743,4.5,711,12238,2023.07.13
37,Take Me Back To Eden,Sleep Token,SpineFarm,SFMU,3,27,23,8,719,-35.5,1115,29590,2023.07.13
38,Chris Black Changed My Life,Portugal. The Man,ATLANTIC GROUP,ATLG,3,34,3,3,701,-23.1,911,6553,2023.07.13
39,Little Garden,Dwellings,TRAGIC HERO REC,TGH ,39,,,1,697,999.0,62,759,2023.07.13
40,"The Dark Side Of The Moon - Live At Wembley Empire Pool, London, 1974",Pink Floyd,PKFL,PKFL,3,41,46,16,689,-11.3,777,41690,2023.07.13
41,Seven Psalms,Paul Simon,SBME,SBME,6,21,10,8,679,-55.4,1521,22404,2023.07.13
42,Cracker Island,Gorillaz,WARNER RECORDS,WAR ,1,32,32,20,666,-28.9,937,101175,2023.07.13
43,Six,Extreme,EAR MUSIC,EAR,4,30,17,5,649,-36.7,1026,17899,2023.07.13
44,Funky Nothingness,Frank Zappa,ZAPPA RECORDS,ZAP ,4,4,,2,633,-84.3,4033,4667,2023.07.13
45,The Endless Coloured Ways: The Songs Of Nick Drake,Various Artists,Chrysalis Records,BRC,45,,,1,616,999.0,2,618,2023.07.13
46,NOW Classic Rock (2022),Various Artists,NOW,NOW,10,,,3,609,9.5,556,44627,2023.07.13
47,Impera,Ghost,LOMA VISTA,LVR ,1,,,1,595,7.0,556,180198,2023.07.13
48,Being Funny In A Foreign Langu,The 1975,DIRTY HIT,DRHI,2,,47,36,593,5.9,560,81023,2023.07.13
48,Remember That You Will Die,Polyphia, RISE RECORDS,RISE,2,,,1,593,215.4,188,29363,2023.07.13
50,Bob Dylan: Shadow Kingdom,Bob Dylan,SME/LEGACY RECORDINGS,LEGC,4,33,21,6,581,-36.5,915,20048,2023.07.13
Copyright (c) 2023 MRC Data LLC. Confidential and Proprietary.,,,,,,,,,,,,,2023.07.13
Rank,Album,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TW Sales,% CHG,LW Sales,RTD Sales,2023.07.20
1,Guardians of the Galaxy Vol. 3: Awesome Mix Vol. 3,Various Artists,HOLLYWOOD RECORDS,HOL ,1,3,7,12,4203,-10.2,4681,109672,2023.07.20
2,Evergreen,PVRIS,HOPELESS RECORDS,HPL,2,,,1,4041,999.0,2,4043,2023.07.20
3,The Record,boygenius,INTERSCOPE/GEFFEN/A&M,INT ,1,7,11,16,3693,31.5,2808,130011,2023.07.20
4,Sticks And Stones,Lukas Nelson & Promise Of The Real,RED INK,RDIK,4,,,1,3688,999.0,1,3689,2023.07.20
5,Whitsitt Chapel,Jelly Roll,BROKEN BOW RECO,BB2 ,1,6,3,7,3336,-11.6,3772,91593,2023.07.20
6,Where The Light Goes,Matchbox Twenty,ATLANTIC GROUP,ATLG,1,23,14,8,3044,140.3,1267,31621,2023.07.20
7,Stick Season,Noah Kahan,MERCURY / REPUBLIC RECORDS,R-MR,2,15,19,7,3002,64.9,1821,46755,2023.07.20
8,Morbid Visions,Cavalera, INDEPENDENT LABEL SUBMISSION,INDI,8,,,1,2483,,0,2483,2023.07.20
9,But Here We Are,Foo Fighters, RCA,RCA ,2,8,9,7,2227,-12.6,2547,86797,2023.07.20
10,Bestial Devastation,Cavalera, INDEPENDENT LABEL SUBMISSION,INDI,10,,,1,2212,,0,2212,2023.07.20
11,72 Seasons,Metallica,RHINO/BLACKENED,BKNR,1,11,13,14,1998,-5.4,2113,221180,2023.07.20
