Rank,Song,Artist,Label Description,Label,Peak Position,Last Week Rank,Last 2 Week Rank,Weeks On Chart,TP Overall,% CHG,LP Overall,TP Audio,TP Video,YTD Overall,ATD Overall,week_of
79,Turn Down For What,Dj Snake,SONY/COLUMBIA,COL,6,72,68,398,1274336,-9.3,1404874,930830,343506,37077633,823823665,2023.07.13
80,Ngana Rindu?,Dj Lucu,EVERYTHING TO EVERYONE,UME,31,69,80,11,1249852,-12.6,1430603,454,1249398,17802138,28356961,2023.07.13
81,B.O.T.A. (Baddest Of Them All),Eliza Rose & Interplanetary Criminal,ATLANTIC,ATLG,6,89,153,46,1246043,4.1,1196947,434664,811379,34357929,77691675,2023.07.13
82,Clarity,Zedd Feat. Foxes,INTERSCOPE/GEFFEN/A&M,INT ,19,87,85,398,1233150,0.6,1225868,1074720,158430,35070571,497770318,2023.07.13
83,Scatman,Scatman John,ICEB,ICEB,26,91,105,37,1211446,2.9,1177259,198449,1012997,20324541,113235466,2023.07.13
84,Body,Loud Luxury Feat. Brando,SONY,SONY,4,82,93,294,1210887,-6.2,1290936,1168750,42137,30827185,567373435,2023.07.13
85,Aglow Looped + Eq,Karamel Kel,,,49,49,184,9,1202625,-34.6,1839312,16230,1186395,11290145,12007370,2023.07.13
86,Memories,David Guetta Feat. Kid Cudi,ATLANTIC GROUP,ATLG,13,86,92,156,1186623,-3.5,1229532,1097802,88821,33414084,255170151,2023.07.13
87,Fine Day/Fine Night,Skrillex & Boys Noize,ATLANTIC GROUP,ATLG,87,,,1,1186179,1944455.7,61,1177572,8607,1186240,1186240,2023.07.13
88,I Love It,Icona Pop Feat. Charli XCX,CAPITOL MUSIC GROUP,CAP ,58,81,83,398,1180447,-9.9,1309558,1177075,3372,32928177,335565976,2023.07.13
89,Lost In The Fire,Gesaffelstein & The Weeknd,Columbia Records,COL ,2,95,90,182,1170469,1.1,1157958,1105618,64851,43999542,327331553,2023.07.13
90,Stereo Love,Edward Maya & Vika Jigulina,ESCO,ESCO,9,84,86,372,1160876,-5.9,1234172,918179,242697,32533335,350639559,2023.07.13
91,Better Off Alone,Alice Deejay,THE ORCHARD,ORCH,4,92,87,98,1158073,-1.2,1172138,592243,565830,28227194,184928680,2023.07.13
92,Moth To A Flame,Swedish House Mafia & The Weeknd,REPUBLIC RECORDS,R-RR,1,97,97,90,1149662,0.2,1147572,1022550,127112,37252551,174138739,2023.07.13
93,Dolly Song (Leva's Polka),Holly Dolly,CAPITOL MUSIC GROUP,CAP ,31,123,142,6,1125187,20.8,931501,1923,1123264,11565936,19817074,2023.07.13
94,Levels,Avicii,INTERSCOPE/GEFFEN/A&M,INT ,2,98,99,398,1123625,-2.0,1146542,999266,124359,31582592,457320240,2023.07.13
95,One More Time,Daft Punk,ASTRALWERKS,ASTW,7,93,102,398,1122914,-3.6,1165166,981574,141340,30905046,318807939,2023.07.13
96,The Business,Tiesto,ATLANTIC GROUP,ATLG,2,96,95,146,1117500,-3.3,1156187,1103569,13931,33155807,318847578,2023.07.13
97,Where Are You Now,Lost Frequencies & Calum Scott, RCA,RCA,12,101,94,101,1110784,-2.4,1137852,1077153,33631,31301812,157251905,2023.07.13
98,Lock It Up,"Whethan Feat. Yeat, midwxst & Matt Ox",ATLANTIC GROUP,ATLG,36,102,84,36,1091330,-3.5,1131241,691246,400084,28127942,44508950,2023.07.13
99,Boogie Shoes,KC & The Sunshine Band, WAR - PARLOPHONE,WAR ,79,94,113,170,1077319,-7.4,1163420,995394,81925,27044182,172556280,2023.07.13
100,Symphony,Clean Bandit,ATLANTIC GROUP,ATLG,9,122,147,330,1075989,15.3,933257,900232,175757,23901501,500868957,2023.07.13
101,Can't Get You out of My Head,Kylie Minogue,INTERSCOPE/GEFFEN/A&M,INT ,90,103,100,153,1051371,-6.9,1128789,882225,169146,24721259,161266542,2023.07.13
102,Among Us,Sembari +,,,3,99,96,47,1045784,-8.6,1144584,7895,1037889,29880850,71382387,2023.07.13
103,Genesis,Grimes, 4 A.D.,4AD ,45,110,108,47,1030397,1.6,1014607,827550,202847,34467588,128260177,2023.07.13
104,Montagem - Pr Funk,S3bzs,THE ORCHARD,ORCH,56,56,73,3,1016943,-39.4,1677642,1011167,5776,5979541,5979541,2023.07.13
105,Roses,Chainsmokers Feat. Rozes,SONY/COLUMBIA,COL,1,109,107,398,998252,-2.5,1024188,995123,3129,28116316,792901586,2023.07.13
106,Shooting Stars,Bag Raiders,INTERSCOPE/GEFFEN/A&M,INT ,3,104,0,301,993744,-8.8,1089394,321948,671796,20013546,677547156,2023.07.13
107,Feels,Calvin Harris,Columbia Records,COL ,1,106,109,317,991543,-6.7,1062980,840211,151332,32842535,566533334,2023.07.13
108,Goosebumps,Travis Scott & HVME, SONY MUSIC ENTERTAINMENT INC.,SMEI,1,114,114,140,983385,-0.2,985141,946910,36475,29284213,332239676,2023.07.13
109,Warning,Mc Orsen,THE ORCHARD,ORCH,9,100,89,45,971259,-15.0,1142144,428549,542710,46574370,62469028,2023.07.13
110,Gigachad Theme,G3ox_Em,THE ORCHARD,ORCH,9,76,55,36,967349,-28.3,1350024,744591,222758,41301476,47727239,2023.07.13
111,I'm an Albatraoz,Aronchupa,ULTRA,ULTA,23,149,154,312,965465,20.2,803331,210026,755439,14085799,281359396,2023.07.13
112,Massive,Drake,OVO / REPUBLIC RECORDS,R-RR,1,154,161,56,960967,22.7,783480,922262,38705,23326037,115272298,2023.07.13
113,Do It To It,Acraze Feat. Cherish,"THRIVE MUSIC, LLC",TMU,1,132,144,94,960471,8.1,888644,747513,212958,31097180,200041891,2023.07.13
114,Don'T You Want Me,Human League,ASTRALWERKS,ASTW,108,111,125,312,958641,-4.8,1006767,894795,63846,24486110,234055678,2023.07.13
115,It Ain't Me,Kygo Feat. Selena Gomez,INTERSCOPE/GEFFEN/A&M,INT ,2,121,119,335,954175,1.5,940420,886836,67339,27443584,725055458,2023.07.13
116,Runaway (U & I),Galantis,ATLANTIC GROUP,ATLG,12,115,139,398,944103,-3.2,975647,900142,43961,24891977,482003350,2023.07.13
117,If Only I,Loud Luxury & Two Friends with Bebe Rexha,,,60,107,60,3,942107,-8.3,1026821,916427,25680,3539731,3539731,2023.07.13
118,Never Be Like You,Flume Feat. Kai (Canada),MOM & POP MUSIC,MMPZ,3,116,111,391,939314,-2.6,964391,895674,43640,24124145,553391616,2023.07.13
119,Fire For You,Cannons (Electronic),SONY/COLUMBIA,COL,53,118,122,145,935656,-1.4,949021,828448,107208,26001082,137573543,2023.07.13
120,Rockabye,Clean Bandit,SONY MUSIC LATIN,SML,3,117,118,351,933664,-2.2,954535,727561,206103,31753353,779904926,2023.07.13
121,DARK BEACH,Pastel Ghost,CITY LIGHTS PIC,CLP ,68,125,132,93,932319,1.5,918313,792295,140024,25360329,75264177,2023.07.13
122,Vendetta!,Mupp X Sadfriendd,,,10,133,127,58,930103,5.2,884131,789901,140202,34325314,84114397,2023.07.13
123,Push Up (Original Mix),Creeds,,,123,192,0,2,927618,42.6,650357,371467,556151,9748212,9764183,2023.07.13
124,Stay (With Alessia Cara),Zedd & Alessia Cara,INTERSCOPE/GEFFEN/A&M,INT ,1,129,115,334,926456,3.5,895003,875207,51249,25821311,848348064,2023.07.13
125,Montagem (Slowed & Reeverb),S3bzs,THE ORCHARD,ORCH,125,,,1,921027,171.6,339170,300500,620527,3208598,3208598,2023.07.13
126,Move Your Body,Ownboss & Sevek,,,85,108,177,68,910893,-11.1,1024709,413610,497283,21154521,51046126,2023.07.13
127,Oblivion,Grimes, 4 A.D.,4AD,9,142,131,189,909828,8.3,839787,591594,318234,27356528,178831575,2023.07.13
128,Escape,Kx5 Feat. Hayla,,,44,127,121,70,908987,0.6,903154,875528,33459,26767919,65201881,2023.07.13
129,Blue (Da Ba Dee),Eiffel 65,REPUBLIC RECORDS,R-RR,17,130,136,398,890042,-0.4,893673,669215,220827,26691265,529649140,2023.07.13
130,Resonance,Home,,,69,137,129,136,878388,0.8,871052,807656,70732,27609850,141765128,2023.07.13
131,La Calin,Serhat Durmus,,,21,66,53,41,865287,-42.6,1508279,59166,806121,29701189,87742636,2023.07.13
132,ily (i love you baby),Surf Mesa Feat. Emilee,ASTRALWERKS,ASTW,1,136,138,175,864533,-1.1,873832,692900,171633,23440196,340483667,2023.07.13
133,Lay Low,Tiesto,INTERNATIONAL R,IRI,73,134,116,27,861954,-1.9,878623,861737,217,23144637,23144637,2023.07.13
134,You Know You Like It,Dj Snake & Alunageorge,INTERSCOPE/GEFFEN/A&M,INT ,11,124,196,241,860171,-6.3,918353,787865,72306,15307498,357860255,2023.07.13
135,Paris,Chainsmokers,SONY/COLUMBIA,COL,1,139,137,339,856295,1.1,846959,814592,41703,25615771,636270762,2023.07.13
136,HEY BROTHER,Avicii,ISLAND,ISL,4,146,143,398,854452,2.7,831659,736550,117902,23563565,428838049,2023.07.13
137,Baiana,Bakermat,THE ORCHARD,ORCH,137,0,0,6,851582,37.8,618201,333962,517620,11437990,41911628,2023.07.13
138,You'Re Too Slow,Odetari,,,138,173,0,2,847944,18.4,716036,741122,106822,4806884,4806884,2023.07.13
139,Lemonade,Sophie,,,82,83,82,5,846148,-33.4,1271053,22038,824110,8816777,15178682,2023.07.13
140,Jenny (I Wanna Ruin Our Friendship),Studio Killers,WARNER RECORDS,WAR ,2,147,0,135,839818,1.7,826140,297048,542770,24684067,186102689,2023.07.13
141,Belly Dancer,Imanbek & Byor,INTERNATIONAL R,IRI,51,126,112,59,835913,-8.2,910405,536112,299801,27421054,62234757,2023.07.13
142,Sugar,Robin Schulz,ATLANTIC GROUP,ATLG,4,144,155,386,835468,0.2,834168,734516,100952,20457141,350359120,2023.07.13
143,DUM DEE DUM,Keys N Krates,DIM MAK     .,DMK ,1,191,133,188,832450,28.0,650498,95732,736718,29999303,291052646,2023.07.13
144,September (Eric Kupper Remix),"Earth, Wind & Fire",SONY/COLUMBIA,COL,12,187,0,52,828888,25.5,660645,28910,799978,10532785,53142058,2023.07.13
145,Bara Bara Bere Bere,Alex Ferrari,ULTRA,ULTA,145,178,0,2,828466,20.7,686140,3271,825195,3515292,7958045,2023.07.13
146,How Deep Is Your Love,"Disciples , Calvin Harris",Columbia Records,COL ,4,141,148,398,826931,-2.0,844100,745790,81141,22474686,514348287,2023.07.13
147,Head & Heart,Joel Corry X Mnek,SME/LEGACY RECORDINGS,LEGC,1,128,140,158,823829,-8.1,896050,800085,23744,23587617,241340093,2023.07.13
148,Here With Me,Marshmello Feat. CHVRCHES,REPUBLIC RECORDS,R-RR,2,160,181,227,821336,8.0,760806,785275,36061,25145178,453644317,2023.07.13
149,Rush,Troye Sivan,,,149,,,1,803305,111007.2,723,600837,202468,813562,813562,2023.07.13
150,Treehouse,Alex G,,,150,158,152,12,801821,3.3,776305,784474,17347,18359891,40735982,2023.07.13
151,Bad Memories,MEDUZA x James Carter Feat. Elley Duhe & FASTBOY,REPUBLIC RECORDS,R-RR,79,159,158,51,799282,3.1,774925,783008,16274,22942475,40878303,2023.07.13
152,Remember,Becky Hill & David Guetta,INTERSCOPE/GEFFEN/A&M,INT ,9,148,141,88,798423,-1.3,809023,738499,59924,33069594,102224215,2023.07.13
153,Love Tonight,Shouse,INGROOVES,INGV,16,145,150,109,794306,-4.5,831992,772521,21785,24466380,136266365,2023.07.13
154,Shadow,Smithmane Onimxru,,,2,169,124,45,792019,9.1,726104,482783,309236,28081895,62372622,2023.07.13
155,Dancing In The Moonlight,Jubel Feat. Neimy,GOOD SOLDIER,GDSL,8,153,164,151,780776,-1.5,792994,771277,9499,20493419,165684715,2023.07.13
156,Get Low,Dillon Francis & DJ Snake,Columbia Records,COL ,1,135,123,307,777144,-11.2,874892,134089,643055,25015272,403703233,2023.07.13
157,Policeman,Eva Simons,REPUBLIC RECORDS,R-RR,60,113,77,20,774240,-22.4,997837,37159,737081,13996790,55741103,2023.07.13
158,Don't Be Shy,Tiesto & KAROL G,ATLANTIC GROUP,ATLG,2,156,151,100,763671,-2.3,781606,750585,13086,29350096,151217516,2023.07.13
159,Axel F,Crazy Frog,REPUBLIC RECORDS,R-RR,14,167,159,397,762328,4.8,727483,262336,499992,24874925,472517233,2023.07.13
160,I Remember (John Summit Remix),Deadmau5 & Kaskade,,,160,,,1,757991,96829.8,782,754726,3265,758773,758773,2023.07.13
161,See You Again,"Chainsmokers, Illenium & Carlie Hanson",SONY/COLUMBIA,COL,42,112,42,3,757379,-24.2,998954,747369,10010,3686679,3686679,2023.07.13
162,Lady (Hear Me Tonight),Modjo,INTERSCOPE/GEFFEN/A&M,INT ,15,165,172,155,752896,2.5,734489,635811,117085,22933803,147277800,2023.07.13
163,Where Them Girls At,David Guetta,ATLANTIC GROUP,ATLG,23,157,160,228,747616,-3.9,777938,701709,45907,21409103,209260591,2023.07.13
164,Wannabe,Why Mona,,AWAL,28,150,146,61,747255,-6.9,802676,143379,603876,23434460,94042202,2023.07.13
165,Blame,Calvin Harris Feat. John Newman,SONY/COLUMBIA,COL,24,163,166,372,745009,-0.5,748378,687341,57668,19249160,324014911,2023.07.13
166,Cold Water,Major Lazer,THE ORCHARD,ORCH,1,166,156,364,740751,1.2,731851,687945,52806,20104106,781167525,2023.07.13
167,Demons Around,Yatashigang,,,26,0,0,9,737572,98.4,371715,80335,657237,6169422,18181352,2023.07.13
168,Take It Off,FISHER & Aatig,ATLANTIC GROUP,ATLG,70,155,145,5,735339,-6.1,782806,722731,12608,4648851,4648851,2023.07.13
169,Good Things Fall Apart,Illenium Feat. Jon Bellion,ASTRALWERKS,ASTW,9,170,162,215,731940,1.2,723519,703968,27972,19967385,329410631,2023.07.13
170,Love & War,Yellow Claw,MADD,MADD,77,0,128,44,727630,15.6,629228,201777,525853,12711881,77646703,2023.07.13
171,Bonkers,Staplegun,THE ORCHARD,ORCH,34,120,130,28,725875,-23.1,943470,171478,554397,32195642,38323528,2023.07.13
172,Such A Whore,Jvla, INDEPENDENT LABEL SUBMISSION,INDI,19,85,110,150,718214,-41.8,1233335,207180,511034,22991753,144060101,2023.07.13
173,Phone,Meduza,REPUBLIC RECORDS,R-RR,173,,,1,715157,117331.4,609,705202,9955,715766,715766,2023.07.13
174,Sweet Nothing,Calvin Harris Feat. Florence W,CAPITOL MUSIC GROUP,CAP ,70,172,170,325,713858,-0.3,716062,679871,33987,19907217,246472044,2023.07.13
175,Scary,Background Sounds,,,40,0,106,7,711418,40.4,506881,464,710954,10741907,11202018,2023.07.13
176,Astronomia,Vicetone & Tony Igy,,,3,0,0,124,710088,13.9,623417,154690,555398,13297021,180514128,2023.07.13
177,Never Forget You,Zara Larsson & Mnek,EPIC,EPIC,2,175,167,398,708064,0.3,705662,653474,54590,21187034,675255675,2023.07.13
178,Heart Racing,"Kanii, Riovaz, Nimstarr",Warner Records,WAR,41,161,135,8,706510,-6.9,759263,703109,3401,9181715,9181715,2023.07.13
179,Freaks,Timmy Trumpet,THE ORCHARD,ORCH,19,185,175,398,694729,4.6,664018,540762,153967,23786638,425287253,2023.07.13
180,Spectre,Alan Walker, RCA,RCA,64,88,120,163,691246,-42.4,1199531,232257,458989,10659470,166690152,2023.07.13
181,UNTRUST US,Crystal Castles,LAST GANG RECORDS,LSGA,181,,,1,689632,65.9,415744,170989,518643,7184850,32491139,2023.07.13
182,Around The World,Daft Punk, WAR - PARLOPHONE,WAR ,12,188,192,176,682500,3.7,658207,518360,164140,22012080,223972030,2023.07.13
183,Canstopwheniwant (John Tejada,Touane,,,136,0,0,2,682499,11.7,611134,4,682495,2594654,2594694,2023.07.13
184,Virtual Insanity,Jamiroquai,EPIC,EPIC,62,164,149,24,682176,-8.0,741516,488247,193929,22983010,93042214,2023.07.13
185,BULLETPROOF,La Roux,INTERSCOPE/GEFFEN/A&M,INT ,26,182,187,237,681879,1.2,673801,679384,2495,18133519,226482857,2023.07.13
186,Ferrari,James Hype Feat. Miggy Dela Rosa,REPUBLIC RECORDS,R-RR,41,171,174,59,672792,-6.4,718855,648572,24220,22445339,55239856,2023.07.13
187,Toca Toca,Fly Project, WEA LATINA,WEAL,6,177,190,24,672506,-3.2,694718,139069,533437,69329590,93684087,2023.07.13
188,Afraid To Feel,Lf System,,,18,198,176,47,672295,4.8,641760,446792,225503,24711752,50890468,2023.07.13
189,West End Girls,Pet Shop Boys, WAR - PARLOPHONE,WAR ,119,168,173,180,670851,-7.7,726639,588294,82557,19305379,179037340,2023.07.13
190,Middle,Dj Snake,INTERSCOPE/GEFFEN/A&M,INT ,3,176,169,398,669174,-5.0,704720,600771,68403,19130225,577622537,2023.07.13
191,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,EPIC,EPIC,2,174,185,177,668534,-5.8,709825,578296,90238,19735390,383186209,2023.07.13
192,Crystals,Isolate.Exe,THE ORCHARD,ORCH,42,200,194,41,666026,5.3,632253,441880,224146,24476533,40315106,2023.07.13
193,This Feeling,Chainsmokers Feat. Kelsea Ballerini,Columbia Records,COL ,3,181,171,252,664492,-2.1,678442,636366,28126,20117737,433638123,2023.07.13
194,You,Regard x Troye Sivan x Tate McRae,EPIC,EPIC,4,180,178,117,656805,-3.9,683443,626302,30503,19899091,167533796,2023.07.13
195,Words,Alesso & Zara Larsson,,,34,183,180,64,655743,-2.2,670348,645528,10215,21603666,57790189,2023.07.13
196,Scopin,Kordhell,THE ORCHARD,ORCH,90,0,0,19,649214,23.1,527438,308800,340414,18638027,23899855,2023.07.13
197,Prayer in C,Lilly Wood & The Prick,ATLANTIC GROUP,ATLG,51,179,165,362,644031,-6.0,685156,571332,72699,17811973,278333214,2023.07.13
198,Pump Up the Jam,Technotronic Feat. Felly,HIP-O RECORDS,HIPD,84,186,188,168,643328,-3.1,663632,520453,122875,17596993,176669484,2023.07.13
199,Beggin',Chris Lake & Aluna,,,162,194,189,9,641493,-1.1,648725,634717,6776,8416624,8416624,2023.07.13
200,Nightcall,Kavinsky & Lovefoxxx,REPUBLIC RECORDS,R-RR,31,0,0,54,640534,5.2,608796,500050,140484,15551641,172252420,2023.07.13
1,Worth Nothing,TWISTED,"ARTIST PARTNER GROUP, INC",ATP,1,3,4,39,11925734,29.8,9189045,553008,11372726,494011811,531427778,2023.07.20
2,Dancin,Aaron Smith (DJ) Feat. Luvli,ULTRA,ULTA,1,2,1,262,10814268,-5.4,11429277,880190,9934078,241578160,812337207,2023.07.20
3,Transgender,Crystal Castles,REPUBLIC RECORDS,R-RR,1,1,3,71,10789997,-9.2,11883258,396621,10393376,290503853,401765057,2023.07.20
4,Barbie Girl,Aqua,INTERSCOPE/GEFFEN/A&M,INT ,4,10,12,399,8990509,73.6,5180110,1869349,7121160,75158174,569569333,2023.07.20
5,Metamorphosis,Interworld,,,2,5,5,48,7177015,8.3,6628616,1973048,5203967,265681771,314428753,2023.07.20
6,Love Is Gone,Slander Feat. Dylan Matthew,CMG,1911,1,7,7,151,6885154,13.8,6048346,967485,5917669,181926189,654966697,2023.07.20
7,I'm Good (Blue),David Guetta & Bebe Rexha,WARNER RECORDS,WAR ,1,6,9,47,6241898,3.0,6058764,5174465,1067433,226577372,389789949,2023.07.20
8,Rush,Troye Sivan,,,8,149,0,2,6158954,666.7,803305,5506823,652131,6972516,6972516,2023.07.20
9,Good Loyal Thots,Odetari,"ARTIST PARTNER GROUP, INC",ATP,8,8,11,11,5829000,3.5,5630233,2580796,3248204,47482251,47482251,2023.07.20
10,Friendships,Pascal Letoublon, INDEPENDENT LABEL SUBMISSION,INDI,3,4,6,146,5673426,-28.6,7950030,212051,5461375,143984854,271493958,2023.07.20
11,Funkytown,Lipps Inc.,Universal Music Enterprises,UME ,9,16,20,332,4838257,47.4,3283154,648703,4189554,62150327,335775109,2023.07.20
12,The Enemy Between My Ears,Sons Of Charlie,,,2,9,2,9,4807435,-11.0,5402129,25825,4781610,45537585,45537585,2023.07.20
13,Kerosene,Crystal Castles,REPUBLIC RECORDS,R-RR,6,14,26,35,4626105,33.3,3469352,600831,4025274,81540716,96242043,2023.07.20
14,Summertime Sadness,Lana Del Rey & Cedric Gervais,INTERSCOPE/GEFFEN/A&M,INT ,5,11,13,399,4445682,3.5,4296054,3756819,688863,114522691,883667209,2023.07.20
15,All I Want Is You,Rebzyyx Feat. Hoshie Star,,,5,29,42,16,3881929,55.0,2504186,528143,3353786,112110518,270034989,2023.07.20
16,Get Lucky,Daft Punk Feat. Pharrell Williams,Columbia Records,COL ,2,20,14,399,3722428,18.8,3132177,2037246,1685182,85341174,721068690,2023.07.20
17,Gigachad Theme (Phonk House Version) - Slowed,G3ox_Em,THE ORCHARD,ORCH,7,13,10,34,3605171,-6.2,3845071,87452,3517719,103618701,109054942,2023.07.20
18,Look Don’t Touch (Feat. Cade Clair),Odetari,,,15,15,19,10,3566605,6.2,3358879,2606061,960544,27098679,27098679,2023.07.20
19,Solitude (Felsmann + Tiley Reinterpretation),M83, MUTE,MTE ,3,18,29,51,3338705,5.0,3178238,229428,3109277,69760081,117811808,2023.07.20
20,Paris,Else,,,1,24,22,130,3274634,16.1,2819378,147370,3127264,99576618,420617161,2023.07.20
21,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,WARNER RECORDS,WAR ,10,17,18,15,3187282,-0.5,3203801,3112243,75039,44067551,44067551,2023.07.20
22,Closer,Chainsmokers Feat. Halsey,Columbia Records,COL ,1,19,21,364,3182470,0.2,3175227,2832918,349552,88253710,2235030610,2023.07.20
23,Don't Let Me Down,Chainsmokers Feat. Daya,Columbia Records,COL ,1,21,23,389,3116469,0.6,3097226,1975572,1140897,90522403,1741135887,2023.07.20
24,Miss You,Oliver Tree & Robin Schulz,ATLANTIC GROUP,ATLG,1,23,17,41,2945139,3.3,2851226,1005904,1939235,162910637,252705120,2023.07.20
25,Wake Me Up,Avicii,ISLAND,ISL,1,22,24,399,2889997,-0.7,2911329,2552921,337076,79366616,994882127,2023.07.20
26,HEY MAMA,"Nicki Minaj , David Guetta",ATLANTIC GROUP,ATLG,1,12,8,399,2870064,-28.7,4024712,640101,2229963,69755278,684367677,2023.07.20
27,In The Name Of Love,Martin Garrix & Bebe Rexha, RCA,RCA,1,27,15,364,2808786,2.6,2738444,1046223,1762563,85504396,951275688,2023.07.20
28,Something Just Like This,Chainsmokers & Coldplay,DISRUPTOR RECOR,RL-D,1,26,25,335,2792962,1.7,2746985,2483510,309452,79766049,1440400909,2023.07.20
29,What Is Love,Haddaway,RAZOR & TIE,RTRT,17,36,44,399,2710829,19.5,2268058,1155450,1555379,51713649,391028846,2023.07.20
30,Midnight City,M83,CAPITOL MUSIC GROUP,CAP ,14,33,39,399,2624689,13.5,2311980,1511258,1113431,49436793,615142844,2023.07.20
31,Titanium,David Guetta Feat. Sia,PARLOPHONE,PARP,1,25,28,399,2555387,-7.3,2755290,1571722,983665,67084244,859518709,2023.07.20
32,The Lost Soul Down,Nbsplv,,,28,28,32,8,2501641,-4.2,2612376,1981984,519657,20809592,20809592,2023.07.20
33,Narcissistic Personality Disorder,Odetari,,,19,35,34,14,2332861,2.5,2274999,1868365,464496,37122970,37122970,2023.07.20
34,The Summer,Calvin Harris,Columbia Records,COL ,2,31,27,399,2283698,-3.2,2358602,1854153,429545,58067454,609418164,2023.07.20
35,Murder In My Mind,Kordhell,THE ORCHARD,ORCH,1,32,30,61,2273468,-2.0,2320644,1523040,750428,89237616,219440621,2023.07.20
36,This Is What You Came For,Calvin Harris Feat. Rihanna,SONY/COLUMBIA,COL,1,37,35,377,2271559,4.0,2184365,2004910,266649,62050563,1029960175,2023.07.20
37,Lily,"Alan Walker , K-391 & Emelie Hollow",SME/LEGACY RECORDINGS,LEGC,6,30,54,224,2223036,-7.9,2414906,249191,1973845,27220194,261305861,2023.07.20
38,Lean On,Major Lazer & DJ Snake Feat. M0,THE ORCHARD,ORCH,1,40,43,399,2173016,6.6,2037849,1862808,310208,45695919,1191377917,2023.07.20
39,One Kiss,Calvin Harris & Dua Lipa,SONY/COLUMBIA,COL,1,38,33,276,2159257,-0.2,2164348,1780506,378751,63880659,736018157,2023.07.20
40,Mamma Mia (Feat. Amber Van Day,Hugel,,,40,61,0,10,2143240,39.1,1540780,120391,2022849,5440461,23419409,2023.07.20
41,You Are My High,Dj Snake,,,1,39,36,88,2090361,-3.3,2161539,1856783,233578,37427847,134242120,2023.07.20
42,Ngana Rindu?,Dj Lucu,EVERYTHING TO EVERYONE,UME,31,80,69,12,2089122,67.1,1249852,429,2088693,19891260,30446083,2023.07.20
43,Smoke It Off! (Feat. Jnhygs),Lumi Athena,Vydia,VYD,32,42,46,13,2052366,2.7,1998225,1760593,291773,47788056,48405788,2023.07.20
44,Rave,Dxrk,THE ORCHARD,ORCH,1,67,74,67,1935841,36.5,1418415,744861,1190980,33621911,131325659,2023.07.20
45,10:35,Tiesto & Tate Mcrae,ATLANTIC GROUP,ATLG,6,41,40,37,1934764,-3.9,2013408,1873295,61469,99659624,122409336,2023.07.20
46,Montagem - Pr Funk,S3bzs,THE ORCHARD,ORCH,46,104,56,4,1912373,88.1,1016943,1255690,656683,7891914,7891914,2023.07.20
47,Happier,Marshmello & Bastille,ASTRALWERKS,ASTW,1,43,47,257,1881902,-4.1,1963382,1827056,54846,63592780,1738464399,2023.07.20
48,Slide,Calvin Harris,Columbia Records,COL ,1,44,41,334,1870610,-0.9,1887776,1810573,60037,49061008,714567507,2023.07.20
49,(It Goes Like) Nanana,Peggy Gou,Merok,XL,40,47,53,5,1869242,5.4,1773728,1815475,53767,8654595,8654595,2023.07.20
50,The Nights,Avicii,ISLAND,ISL ,10,46,52,367,1787966,0.3,1781957,1463524,324442,56552572,513068351,2023.07.20
51,Latch,Disclosure Feat. Sam Smith,INTERSCOPE/GEFFEN/A&M,INT ,15,48,45,399,1763986,-0.1,1765715,1598256,165730,50377531,589362876,2023.07.20
52,Feel So Close,Calvin Harris,CAPITOL MUSIC GROUP,CAP ,10,59,61,399,1759821,12.9,1558173,1529787,230034,43403084,449860117,2023.07.20
53,Hands Up!,"6arelyhuman,Kets4eki",,,52,57,63,17,1753505,7.8,1626458,1461874,291631,28539316,28627782,2023.07.20
54,I Am A Gummy Bear,Gummibar,RAD,RAD,2,53,67,399,1739611,5.8,1644275,724842,1014769,47091432,1174550903,2023.07.20
55,Higher Love,Kygo & Whitney Houston, RCA,RCA,5,49,55,212,1736599,1.0,1718996,1357720,378879,39613784,395089317,2023.07.20
56,Silence,Marshmello Feat. Khalid, SONY MUSIC ENTERTAINMENT INC.,SMEI,1,51,57,310,1723704,2.3,1685710,1528995,194709,54910809,1047920891,2023.07.20
57,Hislerim,Serhat Durmus Feat. Zerrin,,,1,45,48,123,1679810,-7.4,1813648,80554,1599256,41094031,294323023,2023.07.20
58,Rapture,Interworld,,,37,75,79,24,1663255,25.0,1330647,396262,1266993,34179163,35114005,2023.07.20
59,The Motto,Tiesto & Ava Max,ATLANTIC GROUP,ATLG,1,58,60,89,1653725,4.0,1589995,1568799,84926,52389686,250994570,2023.07.20
60,Aglow Looped + Eq,Karamel Kel,,,49,85,49,10,1636523,36.1,1202625,16144,1620379,12926668,13643893,2023.07.20
61,Faded,Alan Walker, RCA,RCA,1,66,71,395,1609855,12.2,1434873,1085580,524275,44085353,1412871120,2023.07.20
62,Everytime We Touch,Cascada,ROBBINS ENTERTAINMENT,ROBB,21,60,105,399,1607142,3.9,1547154,929181,677961,32203866,489317013,2023.07.20
63,Miracle,Calvin Harris & Ellie Goulding,SONY/COLUMBIA,COL,17,50,51,19,1584780,-6.7,1698741,1538334,46446,44481578,44481578,2023.07.20
64,Outside,Calvin Harris Feat. Ellie Goulding,Columbia Records,COL ,19,76,77,399,1546490,16.6,1326734,960461,586029,36687327,388914542,2023.07.20
65,Waiting For Love,Avicii,ISLAND,ISL ,6,73,70,399,1527217,12.3,1360146,885404,641813,35979987,380010958,2023.07.20
